Unnamed: 0,state,action,pos
,O OX     ,8,2.0250000000000004
, O   XO  ,8,0.0
,OO   XO X,4,0.0
,  O   XO ,8,3.960000000000001
,O O   XOX,5,0.45
,O O OXXOX,1,9.5
,   XOXOO ,1,0.0
,OX XOXOO ,8,0.0
,  O OOXX ,3,9.0
,O OXOOXX ,8,71.0
, O   X O ,6,0.9675
, O O XXO ,4,0.0
,OO OXXXO ,8,0.0
,  OXO    ,1,0.405
, XOXOO   ,8,0.9
,OXOXOO  X,6,2.0
,X  OO    ,6,1.215
,XO OO X  ,7,0.45
,XO OO XXO,5,3.0
,  XO   O ,6,1.3125
,  XOO XO ,0,0.75
,X XOO XOO,1,4.0
, O  OX   ,7,0.0
, O  OXOX ,8,0.0
, X  OO   ,2,0.75
,  X O   O,1,2.8125
, XX O O O,0,4.0
,    O OX ,1,0.0
,OX  O OX ,3,0.0
,OO XX O  ,5,15.0
,O O   X  ,8,2.28
,O O O X X,1,7.500000000000001
,OXOOO X X,7,4.0
,   XO  O ,6,2.25
,  OXO XO ,1,5.4
, XOXO XOO,0,19.0
,    OXO  ,7,0.0
,OO   X XO,3,1.5
,O   X  O ,3,1.155
,O  XXO O ,2,1.65
,O XXXOOO ,8,4.0
,   OX  O ,2,1.6875
,  XOX OO ,1,0.0
, XXOXOOO ,8,0.0
,O O X    ,8,0.9675
,O O X O X,3,2.25
,X    OO  ,2,0.5625
,X X  OOO ,4,1.5
,OOX   XO ,8,0.0
, O XOXO  ,2,0.75
,OOXXOXO  ,8,2.0
,   OOX OX,6,1.65
,O  OOXXOX,2,11.0
, O X    O,4,1.935
,XO X O O ,2,0.0
, XO  O   ,8,7.357500000000003
,OXO  O  X,6,2.7
,OXO  OXOX,3,55.0
,O   XXO O,1,2.25
,OXO XXO O,7,11.0
, O XO O X,0,0.0
,XO XOOO X,7,0.0
,X   O  O ,2,0.75
,XO    O  ,5,2.655
,XOO  XO  ,3,1.5
,  O X  O ,8,18.487500000000004
,  O XO OX,6,2.25
,O O XOXOX,1,16.5
,     X OO,4,0.405
,    XXOOO,0,0.0
,    X  OO,2,0.0
,    XO  O,6,5.4375
,O   XOX O,7,0.75
,O  OXOXXO,2,6.0
,  OO X   ,0,7.582500000000001
,X OO X O ,4,5.4
,XOOOXX O ,8,18.0
,   OO   X,6,1.3725
,O  OO X X,2,3.0
,OO     X ,6,3.0
,OO   OXX ,8,5.0
,X OOX   O,1,0.0
, O  OX   ,0,0.5625
,XO  OXO  ,3,0.0
